Tiempo(s),EMG(V)
70.4273,4.044013
70.4283,4.054988
70.4293,4.060799
70.4303,4.0679
70.4313,4.083395
70.4323,4.1047
70.4333,4.115676
70.4343,4.116321
70.4353,4.105669
70.4363,4.081781
70.4373,4.05402
70.4383,4.021739
70.4393,3.990749
70.4403,3.963633
70.4413,3.93684
70.4423,3.912953
70.4433,3.891002
70.4443,3.876475
70.4453,3.867437
70.4463,3.866791
70.4473,3.874216
70.4483,3.887128
70.4493,3.907465
70.4503,3.938455
70.4513,3.981711
70.4523,4.034328
70.4533,4.090174
70.4543,4.145697
70.4553,4.192827
70.4563,4.22995
70.4573,4.253192
70.4583,4.263199
70.4593,4.258034
70.4603,4.23576
70.4613,4.199929
70.4623,4.155058
70.4633,4.104378
70.4643,4.051437
70.4653,4.001079
70.4663,3.955563
70.4673,3.921023
70.4683,3.903914
70.4693,3.911016
70.4703,3.940714
70.4713,3.989135
70.4723,4.0495
70.4733,4.114062
70.4743,4.1783
70.4753,4.237697
70.4763,4.286441
70.4773,4.320336
70.4783,4.338413
70.4793,4.339059
70.4803,4.324209
70.4813,4.293543
70.4823,4.250932
70.4833,4.197346
70.4843,4.144729
70.4853,4.099535
70.4863,4.064672
70.4873,4.046595
70.4883,4.045304
70.4893,4.061767
70.4903,4.091788
70.4913,4.129557
70.4923,4.17249
70.4933,4.214778
70.4943,4.256743
70.4953,4.291929
70.4963,4.319367
70.4973,4.337122
70.4983,4.341964
70.4993,4.336476
70.5003,4.322273
70.5013,4.304518
70.5023,4.287732
70.5033,4.275466
70.5043,4.269009
70.5053,4.268041
70.5063,4.270946
70.5073,4.277402
70.5083,4.284827
70.5093,4.289992
70.5103,4.293543
70.5113,4.29096
70.5123,4.285473
70.5133,4.277725
70.5143,4.265459
70.5153,4.250932
70.5163,4.233501
70.5173,4.218329
70.5183,4.209936
70.5193,4.209936
70.5203,4.221234
70.5213,4.240602
70.5223,4.26675
70.5233,4.294188
70.5243,4.320013
70.5253,4.340673
70.5263,4.353908
70.5273,4.360364
70.5283,4.357459
70.5293,4.347774
70.5303,4.33228
70.5313,4.308069
70.5323,4.276757
70.5333,4.243508
70.5343,4.214132
70.5353,4.192181
70.5363,4.183788
70.5373,4.192504
70.5383,4.213809
70.5393,4.243185
70.5403,4.276434
70.5413,4.308715
70.5423,4.338736
70.5433,4.362301
70.5443,4.377796
70.5453,4.383929
70.5463,4.381992
70.5473,4.372953
70.5483,4.353585
70.5493,4.325824
70.5503,4.296125
70.5513,4.265781
70.5523,4.241248
70.5533,4.226722
70.5543,4.224462
70.5553,4.237051
70.5563,4.260294
70.5573,4.290315
70.5583,4.323241
70.5593,4.355199
70.5603,4.384897
70.5613,4.410076
70.5623,4.431704
70.5633,4.445908
70.5643,4.45301
70.5653,4.447845
70.5663,4.433641
70.5673,4.414596
70.5683,4.39329
70.5693,4.375536
70.5703,4.360364
70.5713,4.352939
70.5723,4.353262
70.5733,4.361655
70.5743,4.378118
70.5753,4.397487
70.5763,4.411368
70.5773,4.420406
70.5783,4.422989
70.5793,4.42428
70.5803,4.421375
70.5813,4.415564
70.5823,4.403943
70.5833,4.389094
70.5843,4.37489
70.5853,4.363592
70.5863,4.361655
70.5873,4.368757
70.5883,4.387803
70.5893,4.413627
70.5903,4.443003
70.5913,4.472701
70.5923,4.498848
70.5933,4.518217
70.5943,4.531129
70.5953,4.535648
70.5963,4.53468
70.5973,4.524673
70.5983,4.504013
70.5993,4.475929
70.6003,4.445908
70.6013,4.416855
70.6023,4.396518
70.6033,4.386189
70.6043,4.388125
70.6053,4.39781
70.6063,4.41621
70.6073,4.443325
70.6083,4.478511
70.6093,4.517894
70.6103,4.559859
70.6113,4.60247
70.6123,4.643143
70.6133,4.678652
70.6143,4.708028
70.6153,4.725782
70.6163,4.733207
70.6173,4.732561
70.6183,4.72675
70.6193,4.720294
70.6203,4.718035
70.6213,4.718035
70.6223,4.721908
70.6233,4.726428
70.6243,4.730301
70.6253,4.731593
70.6263,4.729333
70.6273,4.723522
70.6283,4.714161
70.6293,4.701249
70.6303,4.684785
70.6313,4.664449
70.6323,4.638947
70.6333,4.614091
70.6343,4.592785
70.6353,4.579227
70.6363,4.575999
70.6373,4.585684
70.6383,4.606666
70.6393,4.637333
70.6403,4.673164
70.6413,4.707705
70.6423,4.73708
70.6433,4.757094
70.6443,4.767101
70.6453,4.766779
70.6463,4.758708
70.6473,4.741922
70.6483,4.717389
70.6493,4.683817
70.6503,4.645403
70.6513,4.608603
70.6523,4.576968
70.6533,4.555985
70.6543,4.548561
70.6553,4.554048
70.6563,4.570189
70.6573,4.591171
70.6583,4.616673
70.6593,4.638947
70.6603,4.656378
70.6613,4.669291
70.6623,4.673164
70.6633,4.671228
70.6643,4.661221
70.6653,4.641529
70.6663,4.614413
70.6673,4.585038
70.6683,4.556308
70.6693,4.533389
70.6703,4.518862
70.6713,4.51628
70.6723,4.524027
70.6733,4.540491
70.6743,4.56115
70.6753,4.582133
70.6763,4.60021
70.6773,4.615059
70.6783,4.620547
70.6793,4.619578
70.6803,4.611185
70.6813,4.593431
70.6823,4.567606
70.6833,4.537585
70.6843,4.508855
70.6853,4.483999
70.6863,4.467859
70.6873,4.462694
70.6883,4.46915
70.6893,4.484322
70.6903,4.505305
70.6913,4.529515
70.6923,4.55308
70.6933,4.572771
70.6943,4.587298
70.6953,4.594077
70.6963,4.592463
70.6973,4.58407
70.6983,4.565347
70.6993,4.539845
70.7003,4.510147
70.7013,4.479803
70.7023,4.454947
70.7033,4.439775
70.7043,4.435578
70.7053,4.441711
70.7063,4.457529
70.7073,4.479803
70.7083,4.50595
70.7093,4.529192
70.7103,4.547915
70.7113,4.559536
70.7123,4.561796
70.7133,4.556631
70.7143,4.543719
70.7153,4.521768
70.7163,4.494652
70.7173,4.465922
70.7183,4.438161
70.7193,4.420729
70.7203,4.412336
70.7213,4.418469
70.7223,4.432996
70.7233,4.457529
70.7243,4.485936
70.7253,4.514989
70.7263,4.539845
70.7273,4.558245
70.7283,4.566638
70.7293,4.56567
70.7303,4.552434
70.7313,4.527578
70.7323,4.48981
70.7333,4.446231
70.7343,4.40136
70.7353,4.362946
70.7363,4.334539
70.7373,4.321304
70.7383,4.322273
70.7393,4.334862
70.7403,4.358427
70.7413,4.390385
70.7423,4.427508
70.7433,4.463985
70.7443,4.499494
70.7453,4.528869
70.7463,4.552434
70.7473,4.564378
70.7483,4.560182
70.7493,4.536294
70.7503,4.499817
70.7513,4.457206
70.7523,4.413627
70.7533,4.374567
70.7543,4.344224
70.7553,4.324209
70.7563,4.313557
70.7573,4.310974
70.7583,4.315816
70.7593,4.323564
70.7603,4.333894
70.7613,4.344546
70.7623,4.354876
70.7633,4.363592
70.7643,4.370048
70.7653,4.371017
70.7663,4.365852
70.7673,4.358104
70.7683,4.352294
70.7693,4.35068
70.7703,4.357781
70.7713,4.371985
70.7723,4.389417
70.7733,4.410722
70.7743,4.431382
70.7753,4.448168
70.7763,4.456561
70.7773,4.458175
70.7783,4.451718
70.7793,4.435255
70.7803,4.412336
70.7813,4.382638
70.7823,4.346483
70.7833,4.307101
70.7843,4.269009
70.7853,4.237697
70.7863,4.219297
70.7873,4.217037
70.7883,4.230273
70.7893,4.257066
70.7903,4.293543
70.7913,4.334539
70.7923,4.376182
70.7933,4.413304
70.7943,4.442357
70.7953,4.463985
70.7963,4.474315
70.7973,4.473347
70.7983,4.45882
70.7993,4.433318
70.8003,4.398778
70.8013,4.36101
70.8023,4.325824
70.8033,4.298708
70.8043,4.282245
70.8053,4.278694
70.8063,4.285473
70.8073,4.301613
70.8083,4.322918
70.8093,4.34616
70.8103,4.367143
70.8113,4.381024
70.8123,4.38522
70.8133,4.381024
70.8143,4.367466
70.8153,4.344869
70.8163,4.318399
70.8173,4.291283
70.8183,4.268364
70.8193,4.252223
70.8203,4.244476
70.8213,4.24835
70.8223,4.261262
70.8233,4.28289
70.8243,4.308069
70.8253,4.332925
70.8263,4.351971
70.8273,4.367143
70.8283,4.374245
70.8293,4.37489
70.8303,4.366174
70.8313,4.34616
70.8323,4.315816
70.8333,4.277725
70.8343,4.237374
70.8353,4.201543
70.8363,4.173458
70.8373,4.160223
70.8383,4.162483
70.8393,4.179592
70.8403,4.206385
70.8413,4.24028
70.8423,4.275143
70.8433,4.307746
70.8443,4.332602
70.8453,4.348743
70.8463,4.355199
70.8473,4.349066
70.8483,4.33002
70.8493,4.299353
70.8503,4.259648
70.8513,4.216069
70.8523,4.176041
70.8533,4.144729
70.8543,4.127943
70.8553,4.124392
70.8563,4.13569
70.8573,4.155704
70.8583,4.183465
70.8593,4.213487
70.8603,4.241248
70.8613,4.265136
70.8623,4.282567
70.8633,4.293866
70.8643,4.293866
70.8653,4.280308
70.8663,4.255129
70.8673,4.22188
70.8683,4.185079
70.8693,4.152153
70.8703,4.126974
70.8713,4.11503
70.8723,4.115353
70.8733,4.128588
70.8743,4.149248
70.8753,4.175718
70.8763,4.200897
70.8773,4.224139
70.8783,4.241571
70.8793,4.251901
70.8803,4.254806
70.8813,4.24835
70.8823,4.228981
70.8833,4.199606
70.8843,4.166034
70.8853,4.132139
70.8863,4.103732
70.8873,4.085332
70.8883,4.079199
70.8893,4.084041
70.8903,4.098567
70.8913,4.121164
70.8923,4.144406
70.8933,4.166679
70.8943,4.184757
70.8953,4.197023
70.8963,4.20122
70.8973,4.197992
70.8983,4.184111
70.8993,4.159255
70.9003,4.126328
70.9013,4.090174
70.9023,4.05757
70.9033,4.03336
70.9043,4.021416
70.9053,4.024321
70.9063,4.037234
70.9073,4.059507
70.9083,4.0863
70.9093,4.114062
70.9103,4.140209
70.9113,4.158932
70.9123,4.170553
70.9133,4.17475
70.9143,4.167971
70.9153,4.147634
70.9163,4.116644
70.9173,4.078876
70.9183,4.040462
70.9193,4.006567
70.9203,3.981711
70.9213,3.971058
70.9223,3.974609
70.9233,3.990104
70.9243,4.013023
70.9253,4.041107
70.9263,4.069192
70.9273,4.095662
70.9283,4.115999
70.9293,4.129557
70.9303,4.133107
70.9313,4.126328
70.9323,4.105346
70.9333,4.074679
70.9343,4.037556
70.9353,3.999788
70.9363,3.966862
70.9373,3.945233
70.9383,3.934258
70.9393,3.93684
70.9403,3.948139
70.9413,3.966539
70.9423,3.986553
70.9433,4.006567
70.9443,4.022384
70.9453,4.033683
70.9463,4.037879
70.9473,4.034974
70.9483,4.021093
70.9493,3.996237
70.9503,3.962665
70.9513,3.927802
70.9523,3.89423
70.9533,3.869374
70.9543,3.85517
70.9553,3.855493
70.9563,3.8655
70.9573,3.882609
70.9583,3.90456
70.9593,3.927802
70.9603,3.948462
70.9613,3.96557
70.9623,3.977191
70.9633,3.981388
70.9643,3.977191
70.9653,3.961051
70.9663,3.933935
70.9673,3.900363
70.9683,3.863563
70.9693,3.831605
70.9703,3.808363
70.9713,3.796742
70.9723,3.79771
70.9733,3.808363
70.9743,3.827409
70.9753,3.849037
70.9763,3.869374
70.9773,3.885191
70.9783,3.897781
70.9793,3.901332
70.9803,3.898426
70.9813,3.885514
70.9823,3.861949
70.9833,3.829668
70.9843,3.791254
70.9853,3.7551
70.9863,3.725079
70.9873,3.706356
70.9883,3.698609
70.9893,3.705065
70.9903,3.721205
70.9913,3.743479
70.9923,3.768658
70.9933,3.793191
70.9943,3.813205
70.9953,3.82644
70.9963,3.83096
70.9973,3.826763
70.9983,3.8103
70.9993,3.782861
71.0003,3.74477
71.0013,3.702482
71.0023,3.664068
71.0033,3.632433
71.0043,3.61371
71.0053,3.608222
71.0063,3.615001
71.0073,3.631142
71.0083,3.653415
71.0093,3.677949
71.0103,3.700545
71.0113,3.720237
71.0123,3.733472
71.0133,3.740573
71.0143,3.738314
71.0153,3.726047
71.0163,3.700868
71.0173,3.669879
71.0183,3.636629
71.0193,3.604994
71.0203,3.581429
71.0213,3.570131
71.0223,3.56884
71.0233,3.578201
71.0243,3.594342
71.0253,3.614679
71.0263,3.634693
71.0273,3.650833
71.0283,3.661486
71.0293,3.666651
71.0303,3.664068
71.0313,3.653738
71.0323,3.631787
71.0333,3.602735
71.0343,3.5711
71.0353,3.54011
71.0363,3.516222
71.0373,3.501696
71.0383,3.499759
71.0393,3.508152
71.0403,3.52397
71.0413,3.546243
71.0423,3.56884
71.0433,3.58724
71.0443,3.601121
71.0453,3.608545
71.0463,3.608868
71.0473,3.600475
71.0483,3.582721
71.0493,3.5527
71.0503,3.516545
71.0513,3.478777
71.0523,3.442622
71.0533,3.416798
71.0543,3.40098
71.0553,3.400657
71.0563,3.412924
71.0573,3.433261
71.0583,3.459408
71.0593,3.485878
71.0603,3.50912
71.0613,3.527198
71.0623,3.54011
71.0633,3.544952
71.0643,3.541078
71.0653,3.526552
71.0663,3.499436
71.0673,3.465541
71.0683,3.42971
71.0693,3.398075
71.0703,3.375801
71.0713,3.365471
71.0723,3.366762
71.0733,3.377092
71.0743,3.395169
71.0753,3.416152
71.0763,3.435843
71.0773,3.452952
71.0783,3.464573
71.0793,3.470384
71.0803,3.467478
71.0813,3.45618
71.0823,3.436166
71.0833,3.405822
71.0843,3.370313
71.0853,3.336741
71.0863,3.308657
71.0873,3.290903
71.0883,3.285092
71.0893,3.292839
71.0903,3.309303
71.0913,3.331576
71.0923,3.356755
71.0933,3.379997
71.0943,3.398075
71.0953,3.410019
71.0963,3.414215
71.0973,3.409696
71.0983,3.395815
71.0993,3.369668
71.1003,3.335127
71.1013,3.298004
71.1023,3.264432
71.1033,3.237962
71.1043,3.222467
71.1053,3.219239
71.1063,3.228601
71.1073,3.24571
71.1083,3.269597
71.1093,3.294131
71.1103,3.31705
71.1113,3.33545
71.1123,3.347394
71.1133,3.352882
71.1143,3.348362
71.1153,3.334482
71.1163,3.307689
71.1173,3.274762
71.1183,3.24119
71.1193,3.209878
71.1203,3.188573
71.1213,3.176952
71.1223,3.176629
71.1233,3.185667
71.1243,3.201485
71.1253,3.221822
71.1263,3.242481
71.1273,3.259267
71.1283,3.273148
71.1293,3.279927
71.1303,3.278959
71.1313,3.271534
71.1323,3.253457
71.1333,3.226341
71.1343,3.195352
71.1353,3.16533
71.1363,3.140152
71.1373,3.125625
71.1383,3.12046
71.1393,3.127239
71.1403,3.141443
71.1413,3.160488
71.1423,3.181148
71.1433,3.200517
71.1443,3.215043
71.1453,3.226018
71.1463,3.230215
71.1473,3.22731
71.1483,3.215366
71.1493,3.193738
71.1503,3.164039
71.1513,3.13305
71.1523,3.104965
71.1533,3.084951
71.1543,3.075267
71.1553,3.077204
71.1563,3.088825
71.1573,3.10658
71.1583,3.127885
71.1593,3.147899
71.1603,3.165976
71.1613,3.178888
71.1623,3.184699
71.1633,3.183085
71.1643,3.173078
71.1653,3.152418
71.1663,3.123043
71.1673,3.088825
71.1683,3.054608
71.1693,3.0262
71.1703,3.008769
71.1713,3.002313
71.1723,3.009414
71.1733,3.026523
71.1743,3.052025
71.1753,3.080432
71.1763,3.107225
71.1773,3.131113
71.1783,3.147576
71.1793,3.156937
71.1803,3.157906
71.1813,3.150159
71.1823,3.129499
71.1833,3.098832
71.1843,3.063969
71.1853,3.029751
71.1863,2.99973
71.1873,2.981976
71.1883,2.974551
71.1893,2.978102
71.1903,2.991983
71.1913,3.011674
71.1923,3.031043
71.1933,3.051057
71.1943,3.066229
71.1953,3.075913
71.1963,3.079141
71.1973,3.073976
71.1983,3.058481
71.1993,3.033948
71.2003,3.001667
71.2013,2.968741
71.2023,2.940011
71.2033,2.919028
71.2043,2.910635
71.2053,2.916446
71.2063,2.931941
71.2073,2.955183
71.2083,2.980039
71.2093,3.004895
71.2103,3.0262
71.2113,3.041372
71.2123,3.049443
71.2133,3.049443
71.2143,3.041695
71.2153,3.020713
71.2163,2.990046
71.2173,2.952278
71.2183,2.914509
71.2193,2.880614
71.2203,2.856404
71.2213,2.843491
71.2223,2.844137
71.2233,2.855758
71.2243,2.876741
71.2253,2.90192
71.2263,2.927744
71.2273,2.950018
71.2283,2.967449
71.2293,2.979071
71.2303,2.983267
71.2313,2.977457
71.2323,2.960993
71.2333,2.935169
71.2343,2.903856
71.2353,2.87319
71.2363,2.848334
71.2373,2.831225
71.2383,2.826705
71.2393,2.83187
71.2403,2.845428
71.2413,2.863505
71.2423,2.88352
71.2433,2.900951
71.2443,2.913863
71.2453,2.921288
71.2463,2.922579
71.2473,2.9158
71.2483,2.900951
71.2493,2.877386
71.2503,2.847042
71.2513,2.81573
71.2523,2.787968
71.2533,2.767632
71.2543,2.757947
71.2553,2.759884
71.2563,2.773442
71.2573,2.794102
71.2583,2.818958
71.2593,2.84446
71.2603,2.865765
71.2613,2.881583
71.2623,2.888362
71.2633,2.888362
71.2643,2.877709
71.2653,2.857372
71.2663,2.826383
71.2673,2.790228
71.2683,2.753105
71.2693,2.721793
71.2703,2.699519
71.2713,2.690481
71.2723,2.694677
71.2733,2.707912
71.2743,2.72954
71.2753,2.755042
71.2763,2.781512
71.2773,2.805723
71.2783,2.824769
71.2793,2.83639
71.2803,2.841232
71.2813,2.836712
71.2823,2.821218
71.2833,2.796361
71.2843,2.766986
71.2853,2.738256
71.2863,2.713723
71.2873,2.698228
71.2883,2.69274
71.2893,2.697582
71.2903,2.708558
71.2913,2.725021
71.2923,2.741484
71.2933,2.756979
71.2943,2.76634
71.2953,2.770537
71.2963,2.769568
71.2973,2.762467
71.2983,2.746972
71.2993,2.722116
71.3003,2.692417
71.3013,2.662396
71.3023,2.636572
71.3033,2.621723
71.3043,2.618172
71.3053,2.626242
71.3063,2.648516
71.3073,2.676923
71.3083,2.708558
71.3093,2.738579
71.3103,2.765049
71.3113,2.782158
71.3123,2.790228
71.3133,2.788614
71.3143,2.776993
71.3153,2.754719
71.3163,2.721793
71.3173,2.68467
71.3183,2.647224
71.3193,2.615589
71.3203,2.59267
71.3213,2.580726
71.3223,2.581372
71.3233,2.592347
71.3243,2.611716
71.3253,2.634312
71.3263,2.656263
71.3273,2.675309
71.3283,2.692095
71.3293,2.701133
71.3303,2.704684
71.3313,2.700165
71.3323,2.689189
71.3333,2.670144
71.3343,2.649161
71.3353,2.626565
71.3363,2.608165
71.3373,2.597835
71.3383,2.595575
71.3393,2.602031
71.3403,2.616235
71.3413,2.633344
71.3423,2.650775
71.3433,2.665302
71.3443,2.674986
71.3453,2.680474
71.3463,2.678537
71.3473,2.670144
71.3483,2.654326
71.3493,2.630761
71.3503,2.60074
71.3513,2.570396
71.3523,2.544894
71.3533,2.527463
71.3543,2.520038
71.3553,2.523589
71.3563,2.536824
71.3573,2.556193
71.3583,2.579758
71.3593,2.602354
71.3603,2.620754
71.3613,2.632052
71.3623,2.635926
71.3633,2.630761
71.3643,2.61914
71.3653,2.597512
71.3663,2.568137
71.3673,2.533919
71.3683,2.497765
71.3693,2.467743
71.3703,2.447729
71.3713,2.439336
71.3723,2.44321
71.3733,2.456768
71.3743,2.478073
71.3753,2.504866
71.3763,2.531014
71.3773,2.557484
71.3783,2.581049
71.3793,2.598803
71.3803,2.612038
71.3813,2.620431
71.3823,2.621723
71.3833,2.616881
71.3843,2.606228
71.3853,2.588151
71.3863,2.56168
71.3873,2.531659
71.3883,2.50067
71.3893,2.474845
71.3903,2.45354
71.3913,2.440628
71.3923,2.43288
71.3933,2.429007
71.3943,2.428361
71.3953,2.429329
71.3963,2.43288
71.3973,2.435463
71.3983,2.433203
71.3993,2.424487
71.4003,2.413189
71.4013,2.401891
71.4023,2.393821
71.4033,2.393175
71.4043,2.401245
71.4053,2.419322
71.4063,2.442887
71.4073,2.471617
71.4083,2.502284
71.4093,2.532305
71.4103,2.562326
71.4113,2.589119
71.4123,2.606873
71.4133,2.622045
71.4143,2.636572
71.4153,2.643996
71.4163,2.643351
71.4173,2.634635
71.4183,2.620109
71.4193,2.600095
71.4203,2.567491
71.4213,2.528431
71.4223,2.492922
71.4233,2.456768
71.4243,2.418354
71.4253,2.377357
71.4263,2.341203
71.4273,2.308599
71.4283,2.279869
71.4293,2.252431
71.4303,2.228543
71.4313,2.213694
71.4323,2.208529
71.4333,2.211757
71.4343,2.224669
71.4353,2.249848
71.4363,2.289876
71.4373,2.34314
71.4383,2.409638
71.4393,2.482915
71.4403,2.560389
71.4413,2.634635
71.4423,2.695323
71.4433,2.723407
71.4443,2.713723
71.4453,2.663688
71.4463,2.581694
71.4473,2.486466
71.4483,2.382522
71.4493,2.27535
71.4503,2.169146
71.4513,2.072304
71.4523,1.987083
71.4533,1.928655
71.4543,1.899279
71.4553,1.898957
71.4563,1.92123
71.4573,1.961258
71.4583,2.017104
71.4593,2.078438
71.4603,2.143967
71.4613,2.214017
71.4623,2.280838
71.4633,2.337329
71.4643,2.376712
71.4653,2.389301
71.4663,2.378971
71.4673,2.356375
71.4683,2.331841
71.4693,2.315378
71.4703,2.308599
71.4713,2.318929
71.4723,2.347336
71.4733,2.388656
71.4743,2.427392
71.4753,2.453217
71.4763,2.464838
71.4773,2.456122
71.4783,2.426747
71.4793,2.368964
71.4803,2.294396
71.4813,2.214017
71.4823,2.134606
71.4833,2.061329
71.4843,1.99709
71.4853,1.955448
71.4863,1.938985
71.4873,1.943827
71.4883,1.965778
71.4893,2.000964
71.4903,2.039055
71.4913,2.063911
71.4923,2.078115
71.4933,2.081988
71.4943,2.07295
71.4953,2.059715
71.4963,2.05003
71.4973,2.05003
71.4983,2.06036
71.4993,2.074564
71.5003,2.08909
71.5013,2.105231
71.5023,2.118466
71.5033,2.125245
71.5043,2.128473
71.5053,2.126213
71.5063,2.113624
71.5073,2.088445
71.5083,2.04648
71.5093,1.989988
71.5103,1.925104
71.5113,1.862479
71.5123,1.801146
71.5133,1.739812
71.5143,1.680093
71.5153,1.625216
71.5163,1.574858
71.5173,1.536121
71.5183,1.52224
71.5193,1.541931
71.5203,1.592289
71.5213,1.675251
71.5223,1.777904
71.5233,1.883139
71.5243,1.984501
71.5253,2.071336
71.5263,2.132346
71.5273,2.153975
71.5283,2.131378
71.5293,2.077792
71.5303,2.001932
71.5313,1.914129
71.5323,1.818255
71.5333,1.720121
71.5343,1.639742
71.5353,1.579377
71.5363,1.540317
71.5373,1.535153
71.5383,1.562914
71.5393,1.593581
71.5403,1.612626
71.5413,1.615209
71.5423,1.622311
71.5433,1.654591
71.5443,1.731419
71.5453,1.854086
71.5463,1.992248
71.5473,2.09942
71.5483,2.142999
71.5493,2.129441
71.5503,2.062297
71.5513,1.943504
71.5523,1.777904
71.5533,1.58551
71.5543,1.402156
71.5553,1.255601
71.5563,1.158759
71.5573,1.115826
71.5583,1.124219
71.5593,1.171994
71.5603,1.252696
71.5613,1.356317
71.5623,1.495447
71.5633,1.655883
71.5643,1.808893
71.5653,1.930915
71.5663,2.008388
71.5673,2.055518
71.5683,2.080697
71.5693,2.076501
71.5703,2.007097
71.5713,1.866353
71.5723,1.676542
71.5733,1.448317
71.5743,1.206857
71.5753,0.977987
71.5763,0.783979
71.5773,0.626127
71.5783,0.514758
71.5793,0.44826
71.5803,0.423726
71.5813,0.459881
71.5823,0.549621
71.5833,0.67713
71.5843,0.832078
71.5853,1.006394
71.5863,1.174899
71.5873,1.336949
71.5883,1.502549
71.5893,1.666212
71.5903,1.827616
71.5913,1.98095
71.5923,2.121371
71.5933,2.252108
71.5943,2.333133
71.5953,2.317638
71.5963,2.187547
71.5973,1.946409
71.5983,1.625216
71.5993,1.25205
71.6003,0.849832
71.6013,0.450519
71.6023,0.082841
71.6033,-0.000766
71.6043,-0.001411
71.6053,-0.001088
71.6063,-0.001088
71.6073,-0.001088
71.6083,0.037971
71.6093,0.179361
71.6103,0.401775
71.6113,0.672611
71.6123,0.95765
71.6133,1.232036
71.6143,1.488991
71.6153,1.713342
71.6163,1.885076
71.6173,2.001609
71.6183,2.047125
71.6193,2.024529
71.6203,1.950283
71.6213,1.799855
71.6223,1.572275
71.6233,1.290787
71.6243,0.98638
71.6253,0.688106
71.6263,0.41501
71.6273,0.170968
71.6283,-0.000766
71.6293,-0.000443
71.6303,-0.001088
71.6313,-0.001411
71.6323,-0.001411
71.6333,-0.000443
71.6343,-0.001088
71.6353,-0.000443
71.6363,0.008596
71.6373,0.081873
71.6383,0.208091
71.6393,0.379824
71.6403,0.571895
71.6413,0.767193
71.6423,0.966043
71.6433,1.148429
71.6443,1.279812
71.6453,1.352121
71.6463,1.376654
71.6473,1.348893
71.6483,1.25205
71.6493,1.100976
71.6503,0.904064
71.6513,0.694239
71.6523,0.496681
71.6533,0.328175
71.6543,0.193242
71.6553,0.088652
71.6563,0.01602
71.6573,-0.000443
71.6583,-0.001411
71.6593,-0.00012
71.6603,-0.000766
71.6613,0.014729
71.6623,0.082196
71.6633,0.183235
71.6643,0.324947
71.6653,0.51379
71.6663,0.710056
71.6673,0.86565
71.6683,0.958941
71.6693,0.991867
71.6703,0.960878
71.6713,0.872106
71.6723,0.745888
71.6733,0.589004
71.6743,0.391768
71.6753,0.168708
71.6763,-0.001088
71.6773,-0.001734
71.6783,-0.001088
71.6793,-0.001088
71.6803,-0.000766
71.6813,-0.000766
71.6823,-0.001088
71.6833,-0.00012
71.6843,0.052498
71.6853,0.088652
71.6863,0.10802
71.6873,0.104147
71.6883,0.066701
71.6893,0.021508
71.6903,0.004399
71.6913,0.014729
71.6923,0.051529
71.6933,0.093494
71.6943,0.118027
71.6953,0.116413
71.6963,0.101887
71.6973,0.097368
71.6983,0.139333
71.6993,0.205508
71.7003,0.246505
71.7013,0.252961
71.7023,0.228428
71.7033,0.198729
71.7043,0.180652
71.7053,0.177747
71.7063,0.170645
71.7073,0.151922
71.7083,0.115768
71.7093,0.069284
71.7103,0.001817
71.7113,-0.001088
71.7123,-0.000766
71.7133,-0.001088
71.7143,-0.000443
71.7153,-0.000766
71.7163,-0.000766
71.7173,-0.001088
71.7183,-0.001411
71.7193,-0.001088
71.7203,-0.001088
71.7213,-0.001411
71.7223,-0.000766
71.7233,-0.00012
71.7243,0.031838
71.7253,0.089943
71.7263,0.150954
71.7273,0.180652
71.7283,0.181298
71.7293,0.15967
71.7303,0.104147
71.7313,0.021508
71.7323,-0.001411
71.7333,-0.000766
71.7343,-0.001411
71.7353,-0.000766
71.7363,-0.001411
71.7373,-0.001088
71.7383,-0.001088
71.7393,-0.001088
71.7403,-0.001088
71.7413,-0.000766
71.7423,-0.001411
71.7433,-0.000766
71.7443,-0.000443
71.7453,-0.000766
71.7463,-0.000443
71.7473,-0.001088
71.7483,-0.000766
71.7493,-0.001411
71.7503,-0.001088
71.7513,-0.000766
71.7523,-0.001088
71.7533,-0.001734
71.7543,-0.001411
71.7553,-0.000766
71.7563,-0.000766
71.7573,-0.001088
71.7583,-0.000766
71.7593,-0.000766
71.7603,-0.000443
71.7613,0.017634
71.7623,0.010855
71.7633,-0.000766
71.7643,-0.001088
71.7653,-0.000443
71.7663,-0.000766
71.7673,-0.001734
71.7683,-0.00012
71.7693,-0.001088
71.7703,-0.001734
71.7713,-0.000443
71.7723,-0.001411
71.7733,-0.000766
71.7743,-0.001411
71.7753,-0.001088
71.7763,-0.001088
71.7773,-0.001088
71.7783,-0.001088
71.7793,-0.001088
71.7803,-0.001088
71.7813,-0.000766
71.7823,-0.001411
71.7833,-0.001734
71.7843,-0.001088
71.7853,-0.000443
71.7863,-0.001411
71.7873,-0.001411
71.7883,-0.001411
71.7893,-0.001088
71.7903,-0.001088
71.7913,-0.001411
71.7923,-0.001411
71.7933,-0.001088
71.7943,-0.001088
71.7953,-0.001734
71.7963,-0.000766
71.7973,-0.001088
71.7983,-0.001411
71.7993,-0.001411
71.8003,-0.001411
71.8013,-0.001411
71.8023,-0.001411
71.8033,-0.001088
71.8043,-0.000766
71.8053,-0.001088
71.8063,-0.000443
71.8073,-0.001088
71.8083,-0.001411
71.8093,-0.001734
71.8103,-0.001088
71.8113,-0.000766
71.8123,-0.001088
