Tiempo(s),EMG(V)
0.353,2.533919
0.354,2.514228
0.355,2.489049
0.356,2.46161
0.357,2.4374
0.358,2.419322
0.359,2.411898
0.36,2.415449
0.361,2.427715
0.362,2.447084
0.363,2.470326
0.364,2.493891
0.365,2.514551
0.366,2.531337
0.367,2.541344
0.368,2.545217
0.369,2.54328
0.37,2.531337
0.371,2.510677
0.372,2.485498
0.373,2.459673
0.374,2.438045
0.375,2.424487
0.376,2.422228
0.377,2.431266
0.378,2.449021
0.379,2.471617
0.38,2.497119
0.381,2.519715
0.382,2.539407
0.383,2.552965
0.384,2.559098
0.385,2.557484
0.386,2.548768
0.387,2.531337
0.388,2.505512
0.389,2.476782
0.39,2.449021
0.391,2.428684
0.392,2.415771
0.393,2.415771
0.394,2.427392
0.395,2.446115
0.396,2.47194
0.397,2.498733
0.398,2.523589
0.399,2.542958
0.4,2.556193
0.401,2.562649
0.402,2.560389
0.403,2.549737
0.404,2.528431
0.405,2.500024
0.406,2.470003
0.407,2.44095
0.408,2.418677
0.409,2.406733
0.41,2.408024
0.411,2.419645
0.412,2.439659
0.413,2.464515
0.414,2.490663
0.415,2.514873
0.416,2.534565
0.417,2.548445
0.418,2.555224
0.419,2.553933
0.42,2.540698
0.421,2.519393
0.422,2.490986
0.423,2.46161
0.424,2.436108
0.425,2.418354
0.426,2.411252
0.427,2.41448
0.428,2.428038
0.429,2.447084
0.43,2.470326
0.431,2.491954
0.432,2.510677
0.433,2.524235
0.434,2.531659
0.435,2.532951
0.436,2.526494
0.437,2.511
0.438,2.486789
0.439,2.45935
0.44,2.43288
0.441,2.410607
0.442,2.398663
0.443,2.39834
0.444,2.40867
0.445,2.425778
0.446,2.449343
0.447,2.475814
0.448,2.502607
0.449,2.528108
0.45,2.549091
0.451,2.56394
0.452,2.568782
0.453,2.56168
0.454,2.547154
0.455,2.525203
0.456,2.503575
0.457,2.484529
0.458,2.471294
0.459,2.467743
0.46,2.474845
0.461,2.489049
0.462,2.504543
0.463,2.519715
0.464,2.534887
0.465,2.546186
0.466,2.551351
0.467,2.549091
0.468,2.540375
0.469,2.523266
0.47,2.495505
0.471,2.463224
0.472,2.430621
0.473,2.408024
0.474,2.409315
0.475,2.430621
0.476,2.472586
0.477,2.528108
0.478,2.599449
0.479,2.6766
0.48,2.756333
0.481,2.834776
0.482,2.906762
0.483,2.962285
0.484,2.988755
0.485,2.982944
0.486,2.945821
0.487,2.894495
0.488,2.822186
0.489,2.724053
0.49,2.600095
0.491,2.4742
0.492,2.369933
0.493,2.301175
0.494,2.26954
0.495,2.278901
0.496,2.324417
0.497,2.401245
0.498,2.498087
0.499,2.609133
0.5,2.736642
0.501,2.885134
0.502,3.066551
0.503,3.277022
0.504,3.484587
0.505,3.645022
0.506,3.726047
0.507,3.718945
0.508,3.621458
0.509,3.461668
0.51,3.277345
0.511,3.106902
0.512,2.96519
0.513,2.842846
0.514,2.72147
0.515,2.582986
0.516,2.41448
0.517,2.217568
0.518,2.016136
0.519,1.832781
0.52,1.685581
0.521,1.589707
